SR. No,Items,Quantity,Unit Price,Total price,URL
1,Solenoid Va,1,9.29,9.29,https://www
2,1 battery AA,1,3.35,3.35,https://www
3,TIP120 Darl,2,0.7,1.4,self-source
4,Arduino Un,1,14.24,14.24,self-source
5,1N4007 dic,2,0.2,0.4,self-source
6,Air pump (6,1,4.99,4.99,https://www
7,1.5V batteri,4,1.31,5.25,https://www
Total,8,19,,34.52,

